SG_UF;NM_UE;DS_CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_UF_NASCIMENTO;DT_NASCIMENTO;DS_SIT_TOT_TURNO
PR;UMUARAMA;VEREADOR;EDNEI CUSTODIO DA SILVA;EDNEI DO ESPORTE;PR;08/07/1976;ELEITO POR MêDIA
MG;BRASIL∂NDIA DE MINAS;VEREADOR;EMILIO ALVES BRAGA;EMILIO DA AMBULANCIA;MG;04/03/1976;ELEITO POR MêDIA
RS;WESTFALIA;VEREADOR;GILBERTO POTT;GILBERTO POTT;RS;27/10/1968;ELEITO POR QP
MG;PEÄANHA;VEREADOR;VANILTON SOARES FERREIRA;TICO;MG;13/12/1975;ELEITO POR QP
MG;CARATINGA;VEREADOR;JOSE CORDEIRO DE OLIVEIRA;JOSE CORDEIRO;MG;14/08/1972;ELEITO POR MêDIA
MG;CAMPOS GERAIS;VEREADOR;KLEYVERTTON DA ROCHA SILVA;TOM ROCHA;MG;02/10/1986;ELEITO POR MêDIA
MG;CAMPOS GERAIS;VEREADOR;MARCOS FRANCISCO DE OLIVEIRA;MARQUINHO DA GELADEIRA;MG;08/01/1972;ELEITO POR QP
MG;CARATINGA;VEREADOR;ELZO MARTINS DE FREITAS LOPES;ELZO MARTINS;MG;02/07/1986;ELEITO POR QP
MG;CONGONHAS;VEREADOR;IGOR JONAS SOUZA COSTA;IGOR SOUZA COSTA;MG;26/05/1981;ELEITO POR QP
MG;RESPLENDOR;VEREADOR;CINTHIA TONANI DE OLIVEIRA AMORIM;CINTHIA TONANI;MG;31/01/1990;ELEITO POR QP
RJ;NOVA FRIBURGO;VEREADOR;MAICON GONÄALVES DA SILVA;MAICON GONÄALVES;RJ;09/04/1987;ELEITO POR MêDIA
MG;SALTO DA DIVISA;VEREADOR;ERILDO PEREIRA DOS SANTOS;ERILDO PEREIRA DOS SANTOS;MG;04/11/1962;ELEITO POR MêDIA
MG;SALTO DA DIVISA;VEREADOR;LEOMAR GONÄALVES DOS SANTOS;DINHA;MG;20/07/1977;ELEITO POR QP
MG;CARATINGA;VEREADOR;R‚MULO HELENO GUSMAO;R‚MULO GUSM«O;MG;27/04/1987;ELEITO POR QP
MG;SANTANA DO JACARê;VEREADOR;ISAAC RIBEIRO DA SILVA;ISAAC CABELEIREIRO;MG;22/05/1983;ELEITO POR QP
RJ;S«O GONÄALO;VEREADOR;MAGNO JOSê DA SILVA;MAGÈ DOS BRINQUEDOS;RJ;27/03/1975;ELEITO POR MêDIA
MG;SANTANA DO JACARê;VEREADOR;ROSELI MARCIANO DOS SANTOS FABRICIO;TITA BERARDA;MG;24/02/1975;ELEITO POR MêDIA
MG;COQUEIRAL;VEREADOR;GERSI CANDIDO DA SILVA;GERSI DA RECICLAGEM;PR;16/05/1966;ELEITO POR QP
MG;C‡RREGO DANTA;VEREADOR;ERNANDO DE ASSIS ROCHA;ERNANDO ROCHA;MG;26/03/1985;ELEITO POR QP
MG;S«O JO«O DO PACU÷;VEREADOR;JAIR PEREIRA RAMOS;JAIR DE BETO;MG;21/09/1974;ELEITO POR QP
MG;C‡RREGO DO BOM JESUS;VEREADOR;MICHEL JOAO DOS SANTOS;MICHEL DO QUEROSENE;MG;23/06/1983;ELEITO POR QP
RJ;S«O GONÄALO;VEREADOR;BRUNO PORTO DE ALMEIDA;BRUNO PORTO;RJ;07/02/1980;ELEITO POR QP
MG;UBµ;VEREADOR;ANTONIO DOMINGOS XIMENDES TRINDADE;DOMINGOS TRINDADE;PI;21/09/1969;ELEITO POR MêDIA
RN;BOA SAÈDE;VEREADOR;MARIA ERIDANY AUGUSTO DE MESQUITA;ERIDANY MESQUITA;RN;04/11/2004;ELEITO POR QP
MG;JO«O MONLEVADE;VEREADOR;JO«O CASSIMIRO DA SILVA;SASSA MISERIC‡RDIA;MG;08/03/1966;ELEITO POR QP
RN;ENCANTO;VEREADOR;LEANDRO ROBERTO DE LIMA SILVA;LEANDRO ROBERTO;RN;08/03/1989;ELEITO POR QP
MS;FIGUEIR«O;VEREADOR;EDEGAR JOSê DE LIMA;EDEGAR LIMA;MS;30/01/1968;ELEITO POR QP
MG;JO«O MONLEVADE;VEREADOR;SINVAL JACINTO DIAS;SINVAL DA LUZITANA;MG;17/08/1957;ELEITO POR QP
MS;IVINHEMA;VEREADOR;CLAUDEMIR BATISTA DA ROCHA;CLAUDIO DO RAIO X;MS;16/04/1971;ELEITO POR QP
RN;MONTE DAS GAMELEIRAS;VEREADOR;ELIAS JOSê EM÷DIO;ELIAS EM÷DIO;RN;08/08/1983;ELEITO POR QP
RN;MONTE DAS GAMELEIRAS;VEREADOR;CLêCIO DE SOUZA;CLêCIO;RN;21/05/1982;ELEITO POR QP
RN;PASSAGEM;VEREADOR;ROBSON SERGIO SILVA DE LIMA;JOCA DE NEVA;RN;29/10/1980;ELEITO POR QP
RN;S«O MIGUEL DO GOSTOSO;VEREADOR;MARIA JOSALETE DA CAMARA CRUZ;IRM« LETINHA;RN;13/07/1957;ELEITO POR QP
RO;ALTO ALEGRE DOS PARECIS;VEREADOR;VALMIRO GOMES DA SILVA;VALMIR MOTO TAXI;PR;01/04/1970;ELEITO POR QP
MG;IBIRITê;VEREADOR;FRANCISCO SOARES DE AQUINO NETO;NETO DO SALAO;MG;21/03/1986;ELEITO POR QP
MT;GUARANT« DO NORTE;VEREADOR;DAVID MARQUES SILVA;DAVID DA FARMACIA ;PR;10/05/1966;ELEITO POR MêDIA
MT;LAMBARI D'OESTE;VEREADOR;ADELSON DE JESUS SANTANA;DELSINHO;MT;14/08/1983;ELEITO POR QP
MT;NORTEL∂NDIA;VEREADOR;LUIZ GARCIA TABORDA;LUIZ GARCIA;MT;20/04/1963;ELEITO POR QP
MG;MURIAê;VEREADOR;MUNIQUE HELENA DA CUNHA ALVES;MUNIK HELENA DA SAUDE;MG;18/07/1987;ELEITO POR QP
MT;PONTE BRANCA;VEREADOR;DANIEL BATISTA MOREIRA;DANIEL MOREIRA;MT;05/12/1995;ELEITO POR QP
MG;OURO FINO;VEREADOR;VANIA APARECIDA VIEIRA COUTO;VANIA COUTO;MG;09/03/1969;ELEITO POR MêDIA
RS;CAIBATê;VEREADOR;GILSE CARME DA SILVA ROCHA;GILSE ROCHA;RS;07/10/1973;ELEITO POR QP
MG;MACHACALIS;VEREADOR;PEDRO FERREIRA DE SOUZA;PEDRINHO DE DATIVO;MG;29/06/1983;ELEITO POR QP
RS;FAXINAL DO SOTURNO;VEREADOR;PAULO RICARDO MARZARI;PAUL«O;RS;19/01/1964;ELEITO POR QP
MG;COUTO DE MAGALH«ES DE MINAS;PREFEITO;JOSE EDUARDO DE PAULA RABELO;Zê EDUARDO;MG;20/10/1968;ELEITO
BA;LAJEDO DO TABOCAL;PREFEITO;ANT‚NIO MARCOS ARAÈJO DE SENA;MARQUINHOS SENA;BA;24/07/1981;ELEITO
MG;PESCADOR;PREFEITO;GERALDO ANASTACIO JARDIM;ANASTµCIO JARDIM;MG;18/04/1968;ELEITO
MG;RIBEIR«O VERMELHO;VEREADOR;PLINIO CARRIÄO RODRIGUES;PLINIO PLINAÄO;MG;23/09/1990;ELEITO POR QP
MT;VALE DE S«O DOMINGOS;PREFEITO;LEANDRO AZEVEDO DA CUNHA;LEANDRO AZEVEDO;SP;09/05/1982;ELEITO
MG;SANTA BµRBARA;VEREADOR;WILSON MACHADO DE MELO;PINKA DE INH‚ E D.ANITA;MG;06/04/1968;ELEITO POR QP
MG;VIRGOL∂NDIA;VEREADOR;HELIO DE FREITAS BRAGA;HELIO BRAGA;MG;26/09/1981;ELEITO POR QP
CE;ABAIARA;VEREADOR;FRANCISCO ELISEU MOREIRA;ELISEU MOREIRA;CE;03/05/1965;ELEITO POR MêDIA
CE;BELA CRUZ;VEREADOR;CARLOS ALEXANDRE DE PAULO;ALEXANDRE DE PAULO;CE;05/03/1979;ELEITO POR QP
MS;ARAL MOREIRA;VEREADOR;EMERSON RICARDO SANCHES;EMERSON SANCHES;MS;10/07/1986;ELEITO POR MêDIA
MG;SENADOR AMARAL;VEREADOR;JOELSO APARECIDO DE LIMA;DELSO DO AFONSO;MG;20/10/1987;ELEITO POR QP
MS;CAMAPU«;VEREADOR;PEDRO DIAS PEREIRA;PEDRINHO CABELEIREIRO;MS;22/05/1977;ELEITO POR QP
CE;NOVO ORIENTE;VEREADOR;VICENTE COELHO VIDAL;NETO VIDAL;CE;04/01/1964;ELEITO POR QP
BA;HELI‡POLIS;VEREADOR;JOSE CORREIA DA SILVA;DE CORREIA;BA;19/01/1977;ELEITO POR QP
MS;CAMPO GRANDE;VEREADOR;JEAN FELIPE MORAIS FERREIRA BARBOSA;JEAN FERREIRA;MS;22/12/1998;ELEITO POR MêDIA
BA;ITABUNA;VEREADOR;PAULO EDUARDO SANTANA DA SILVA;PAULINHO DO BANCO;BA;09/04/1973;ELEITO POR MêDIA
ES;MUNIZ FREIRE;VEREADOR;JOSê MARIA BERGAMINI;Zê MARIA POLICIAL;ES;08/07/1968;ELEITO POR QP
MS;CAMPO GRANDE;VEREADOR;FLAVIO PEREIRA MOURA;FLAVIO CABO ALMI;MS;25/06/1991;ELEITO POR QP
GO;AMARALINA;VEREADOR;CINTIA APARECIDA ROSA MARTINS;DRA. CINTIA;GO;12/04/1981;ELEITO POR QP
GO;CERES;VEREADOR;JULIANO GARCIA ROSA;JULIANO DO TARIM;GO;04/12/1975;ELEITO POR QP
MG;VARGEM GRANDE DO RIO PARDO;VEREADOR;GERVALINO MIRANDA DE SOUZA;GERA;MG;09/01/1975;ELEITO POR QP
GO;DAVIN‡POLIS;VEREADOR;WALISSON NETO DA SILVA KIZYZANOSKI;WALISSON PITTY;GO;01/03/1994;ELEITO POR MêDIA
GO;MORRO AGUDO DE GOIµS;VEREADOR;ESMAR ANT‚NIO DE MAGALH«ES;ESMAR;GO;05/04/1966;ELEITO POR QP
MT;ALTA FLORESTA;VEREADOR;OSLEN DIAS DOS SANTOS;TUTI;PR;01/04/1970;ELEITO POR QP
MT;ALTA FLORESTA;VEREADOR;DOUGLAS PEREIRA TEIXEIRA DE CARVALHO;DOUGLAS TEIXEIRA;MT;05/09/1987;ELEITO POR QP
MT;ALTA FLORESTA;VEREADOR;DARLAN TRINDADE CARVALHO;DARLAN CARVALHO;MT;22/09/1987;ELEITO POR QP
BA;ITAPITANGA;VEREADOR;RILDES DO NASCIMENTO MAGALH«ES;RILDES MAGALH«ES;BA;12/05/1969;ELEITO POR QP
GO;VICENTIN‡POLIS;VEREADOR;ARILDO AM∂NCIO DE LIMA;ARILDO DA SAÈDE;GO;15/11/1969;ELEITO POR QP
MA;AFONSO CUNHA;VEREADOR;MANOEL FERREIRA DE OLIVEIRA;MANOEL GOMES;MA;27/11/1957;ELEITO POR MêDIA
MT;SAPEZAL;VEREADOR;MIGUEL HENRIQUE DA SILVA;MIGUELZINHO DA CACORê;MT;18/10/1983;ELEITO POR QP
PR;SARANDI;VEREADOR;DIONIZIO APARECIDO VIARO;DIONIZIO DA DIOCAR;PR;01/09/1973;ELEITO POR QP
MG;PAPAGAIOS;PREFEITO;RISLAINE DE FARIA CANÄADO;RISLAINE;MG;21/03/1980;ELEITO
TO;CONCEIÄ«O DO TOCANTINS;PREFEITO;PAULO SERGIO TORRES FERNANDES;PAULO ROCHA;TO;20/07/1969;ELEITO
MA;BACURI;PREFEITO;MARCIO FLAVIO DOS SANTOS ABREU;MARCIO HOMINHO;MA;05/05/1983;ELEITO
MG;PEQUERI;PREFEITO;GLAUCO BRAGA FAVERO;GLAUCO;MG;26/07/1976;ELEITO
MA;S«O BENTO;VEREADOR;ADRIANO DE JESUS SANTOS;ADRIANO SANTOS;MA;01/10/1979;ELEITO POR MêDIA
RJ;LAJE DO MURIAê;VEREADOR;JULIANO BARBOSA VIEIRA;JULIANO;RJ;17/05/1978;ELEITO POR QP
AL;MARAVILHA;VEREADOR;JAELSON JÈNIOR XAVIER SOARES;JÈNIOR DE TINHO;AL;16/01/1981;ELEITO POR QP
AM;CANUTAMA;VEREADOR;LEONARDO ALVES DE SOUZA;LEONARDO ALVES;RO;10/10/1975;ELEITO POR QP
AM;CANUTAMA;VEREADOR;FRANCISCO DAS CHAGAS GOMES DE OLIVEIRA;CHAGA ABACABA;AM;29/01/1963;ELEITO POR MêDIA
AM;CANUTAMA;VEREADOR;VALTEMAR DE FREITAS OLIVEIRA;VALTEMAR;AM;29/12/1976;ELEITO POR QP
RJ;SAPUCAIA;VEREADOR;JACKSON CARNEIRO DA ROCHA;JAQUINHO;RJ;27/09/1986;ELEITO POR QP
RN;ACARI;VEREADOR;FRANCISCO DAS CHAGAS MEDEIROS JUNIOR;JÈNIOR BURITI ;RN;23/05/1981;ELEITO POR QP
AM;HUMAITµ;VEREADOR;EVANEI DE Sµ MENDONÄA;EVANEI MENDONÄA;AM;27/10/1977;ELEITO POR QP
RN;PARANµ;VEREADOR;FRANCISCO SERGINALDO DUARTE;Zê DE DUCARMO;RN;24/08/1985;ELEITO POR QP
AM;HUMAITµ;VEREADOR;FRANCISCO CRISTOVO DA FONSECA ALMEIDA;CRISTOVO DO URUAPIARA;AM;04/10/1985;ELEITO POR QP
RN;S«O FRANCISCO DO OESTE;VEREADOR;ANTONIO MARCOS LEITE;KADISSE;RN;22/08/1977;ELEITO POR QP
RN;SERRA DE S«O BENTO;VEREADOR;REGIA DE FATIMA CRISANTO DE MORAIS;REGIA CRISANTO;RN;26/03/1962;ELEITO POR QP
RO;NOVA MAMORê;VEREADOR;JEFFERSON DE CASTRO CL÷MACO;JEFFERSON CL÷MACO;RO;12/08/1988;ELEITO POR QP
RO;NOVA MAMORê;VEREADOR;JOCIMAR MAULAZ;IRM«O J‡;ES;05/07/1974;ELEITO POR QP
SC;IBIRAMA;VEREADOR;JORGE ELI DE OLIVEIRA;JORGE ELI;SC;14/11/1981;ELEITO POR QP
SC;MACIEIRA;VEREADOR;MILTON AGUSTINHO BASSANI;MILTINHO;SC;07/08/1963;ELEITO POR MêDIA
SC;MACIEIRA;VEREADOR;EDUARDO TASCA;EDUARDO TASCA;SC;23/03/1979;ELEITO POR QP
SC;S«O LOURENÄO DO OESTE;VEREADOR;JO«O CARLOS SULDOWSKI;JO«O SULDOWSKI;SC;26/06/1979;ELEITO POR QP
SE;LARANJEIRAS;VEREADOR;M‚NICA MACEDO SOBRAL MACIEL SILVA;M‚NICA SOBRAL;SE;10/07/1968;ELEITO POR QP
BA;LAJE;VEREADOR;ELISIO PEREIRA DE SOUSA;PEBA;BA;21/01/1965;ELEITO POR QP
SE;SIM«O DIAS;VEREADOR;JOSê DE SOUZA SILVA FILHO;Zê CAETANO;SE;21/05/1965;ELEITO POR MêDIA
PR;OURO VERDE DO OESTE;VEREADOR;ADENILSON SOARES DA SILVA;LECA;PR;31/01/1984;ELEITO POR QP
PR;SERTANEJA;VEREADOR;THALES GERDULLI SERAFIM TAVARES;THALES TAVARES;PR;23/02/1993;ELEITO POR MêDIA
BA;URUÄUCA;VEREADOR;JABSON GOMES DOS SANTOS;JABINHO DA SERRARIA;BA;18/12/1985;ELEITO POR MêDIA
CE;ALTO SANTO;VEREADOR;FRANCISCO BEZERRA BARRETO;IVANILSOM DO BATOQUE;CE;24/05/1975;ELEITO POR QP
CE;ALTO SANTO;VEREADOR;LEVI DAMASCENO BESSA;LEVI DAMASCENO;CE;27/07/1997;ELEITO POR QP
SP;COSMORAMA;VEREADOR;MARINEIDE AURA DE SOUZA;MARINEIDE;SP;27/12/1962;ELEITO POR QP
RJ;MARICµ;VEREADOR;ADELSO PEREIRA;ADELSO PEREIRA;RJ;25/01/1964;ELEITO POR QP
CE;ARATUBA;VEREADOR;FRANCISCO FABIANO DA SILVA ARAUJO;FABIANO SILVA;CE;26/11/1979;ELEITO POR QP
CE;ARATUBA;VEREADOR;FABIO JUNIOR OLIVEIRA MARREIRO;BICUDO MARREIRO;CE;04/04/1980;ELEITO POR QP
RJ;MARICµ;VEREADOR;ALDAIR NUNES ELIAS;ALDAIR DE LINDA;RJ;23/01/1971;ELEITO POR QP
RJ;MARICµ;VEREADOR;CARLOS DANILO DOS SANTOS;DANILO SANTOS;RJ;10/01/1984;ELEITO POR MêDIA
CE;BATURITê;VEREADOR;MARIA RANIELE JARDIM LIMA;RANIELE;CE;19/07/1988;ELEITO POR QP
RJ;MARICµ;VEREADOR;ADRIANA LUIZA DA COSTA;ADRIANA COSTA;RJ;30/12/1964;ELEITO POR QP
TO;NOVA ROSAL∂NDIA;VEREADOR;ERIVANDO RIBEIRO MAGAL«ES;ERIVANDO;GO;18/05/1968;ELEITO POR QP
TO;RIO DA CONCEIÄ«O;VEREADOR;JOEL OLIVEIRA DE SOUSA;JOEL DO POV«O;TO;09/12/1991;ELEITO POR QP
TO;RIO DA CONCEIÄ«O;VEREADOR;THAYNE DOS SANTOS BRITO;THAYNE BRITO;TO;27/12/1999;ELEITO POR QP
CE;PINDORETAMA;VEREADOR;JOSê PEREIRA DA SILVA;NEGO BOM;CE;01/08/1980;ELEITO POR MêDIA
RN;CEARµ-MIRIM;VEREADOR;HERIBERTO RIBEIRO PEREIRA;IRM«O HERIBERTO;RN;18/10/1979;ELEITO POR QP
TO;SANDOL∂NDIA;VEREADOR;OSEIAS PEREIRA LIMA;ZEINHA LIMA;TO;27/10/1980;ELEITO POR QP
CE;PINDORETAMA;VEREADOR;JOSE ADRIANO DE OLIVEIRA;ADRIANO OLIVEIRA;CE;28/04/1989;ELEITO POR MêDIA
RN;CEARµ-MIRIM;VEREADOR;CARLOS MAGNUS RIBEIRO FILHO;CARLOS FILHO;RN;11/03/1985;ELEITO POR QP
GO;LUZI∂NIA;VEREADOR;ANTONIO COSTA DO NASCIMENTO;CARLOS DA LIGA;MA;19/04/1970;ELEITO POR QP
SP;LOUVEIRA;VEREADOR;CLAUDENILDO GOMES DA CRUZ;NILDO REDENÄ«O;AL;12/08/1978;ELEITO POR QP
GO;MORRINHOS;VEREADOR;DABLIO MOREIRA DA SILVA AMADOR;DABLIO;GO;08/10/1987;ELEITO POR MêDIA
SP;MIRASSOL;VEREADOR;LUIZ FERNANDO NOGUEIRA;NANDO NOGUEIRA;SP;18/04/1989;ELEITO POR QP
MA;CENTRO DO GUILHERME;VEREADOR;JOSE EDILSON DA SILVA;DILSON FERNANDES;MA;19/04/1961;ELEITO POR QP
MA;CENTRO DO GUILHERME;VEREADOR;JOSE LUIS BARBOSA DE MORAES;LUIS DO SINDICATO;MA;30/08/1966;ELEITO POR QP
SP;RAFARD;VEREADOR;LIDIANE APARECIDA BARBOZA DE OLIVEIRA;LIDIANE BARBOSA;SP;02/09/1981;ELEITO POR QP
MA;OLHO D'µGUA DAS CUNH«S;VEREADOR;GEORGE ALVES OLIVEIRA;GEORGE MATOS;MA;30/06/1983;ELEITO POR QP
RS;ARAMBARê;VEREADOR;GERSON LUIS PASTORIZA RIBEIRO;GERSON PASTORIZA;RS;31/08/1958;ELEITO POR MêDIA
RS;BARRA DO RIO AZUL;VEREADOR;ANERI FRANCISCO MINELLA;MINELLA;RS;06/07/1968;ELEITO POR MêDIA
RS;ERNESTINA;VEREADOR;SILVANE APARECIDA VARGAS;SILVANE - NENA;RS;03/07/1976;ELEITO POR QP
MG;BELO HORIZONTE;VEREADOR;ELIZETE LOIDE GONÄALVES TAVARES;LO÷DE GONÄALVES;MG;22/12/1980;ELEITO POR QP
RS;PINHAL DA SERRA;VEREADOR;ELIANE BOEIRA DA COSTA;ELIANE;RS;04/03/1987;ELEITO POR QP
AL;PALMEIRA DOS ÷NDIOS;PREFEITO;LUISA JULIA DUARTE;TIA JULIA;AL;22/03/1956;ELEITO
BA;SANTA MARIA DA VIT‡RIA;PREFEITO;ANTONIO ELSON MARQUES DA SILVA;TONHO DE Zê DE AGD‚NIO;BA;10/04/1981;ELEITO
ES;VILA PAV«O;PREFEITO;JO«O TRANCOSO;JO«O TRANCOSO;ES;10/05/1970;ELEITO
RS;GRAMADO;VEREADOR;ROBERTO CRISTIANO CICAROLLI CAVALLIN;ROBERTO CAVALLIN;RS;17/07/1981;ELEITO POR QP
PA;BELêM;PREFEITO;EDER MAURO CARDOSO BARRA;DELEGADO EDER MAURO;PA;14/12/1960;2ß TURNO
PA;NOVA TIMBOTEUA;PREFEITO;ALINE COSTA DA SILVA;PROFESSORA ALINE;PA;16/04/1979;ELEITO
RS;NOVA BOA VISTA;VEREADOR;NEURI STAGGEMEIER;NEURI STAGGEMEIER;RS;23/06/1958;ELEITO POR QP
BA;SANTA RITA DE CµSSIA;VEREADOR;EMERSON DAMI«O MENDES;EMERSON MENDES;BA;14/10/1978;ELEITO POR QP
BA;MUTU÷PE;VEREADOR;DANIEL DA SILVA FRANCISCO;DANIEL DO CAMINH«O;BA;10/08/1983;ELEITO POR QP
CE;FORTIM;VEREADOR;CAMILA OLIVEIRA BARBOSA;DRA. CAMILA OLIVEIRA;RS;19/03/1986;ELEITO POR QP
CE;IGUATU;VEREADOR;JOSê WELLINGTON UCH‚A DE LIMA;DR WELLINGTON;CE;20/10/1976;ELEITO POR QP
CE;IGUATU;VEREADOR;ALYSON LUIS BARRETO LIMA;ALYSON BARRETO;CE;15/02/1981;ELEITO POR MêDIA
SP;URUP“S;VEREADOR;MAURO BARBOSA;MAURO BARBOSA;SP;04/05/1968;ELEITO POR QP
SC;JOSê BOITEUX;VEREADOR;JANDIR DE GRACIA;JANDIR GRILO;SC;21/07/1991;ELEITO POR QP
BA;UIBA÷;VEREADOR;JUTAHI VIEIRA PAIVA;JOTINHA;BA;24/03/1978;ELEITO POR QP
CE;FARIAS BRITO;VEREADOR;SAUVIANO FERNANDES DE ALC∂NTARA;SAUVIANO DO CARIUTABA;CE;12/01/1982;ELEITO POR MêDIA
CE;FARIAS BRITO;VEREADOR;FRANCISCO LOURENÄO DE ANDRADE;CHIC«O DA CANABRAVA;CE;18/10/1951;ELEITO POR QP
PA;AVEIRO;VEREADOR;FRANCILDO FEITOSA PACHECO;IRM«O CILDO;TO;20/09/1980;ELEITO POR QP
ES;APIACµ;VEREADOR;LINDOMAR ZACARIAS DA SILVA;MAZINHO RUSSO;ES;23/08/1973;ELEITO POR QP
CE;IBIAPINA;VEREADOR;LINDOMAR DE ARAUJO BRITO;LINDOMAR BRITO;CE;17/10/1985;ELEITO POR QP
SC;LAGES;VEREADOR;SUZANA PEREIRA MORAIS DUARTE;SUZANA DUARTE;SC;24/10/1972;ELEITO POR QP
PA;URUARµ;VEREADOR;FRANCISCO RONALDO DOMINGOS DE SOUZA;RONALDO DOMINGOS;PA;19/05/1978;ELEITO POR QP
PB;ALAGOA GRANDE;VEREADOR;LU÷S LUCINDO DA SILVA;LU÷S LUCINDO;PB;27/03/1965;ELEITO POR QP
PB;ALAGOA GRANDE;VEREADOR;JOEDSON DA SILVA COUTINHO;ZE DO POVO;PB;14/11/1982;ELEITO POR QP
SC;PALHOÄA;VEREADOR;ELTON ESOMERICO DE QUADROS;ELTON;SC;08/04/1982;ELEITO POR QP
GO;SANTO ANT‚NIO DE GOIµS;VEREADOR;FLµVIO EUG“NIO COSMI DE FREITAS;FLAVINHO;GO;09/05/1984;ELEITO POR MêDIA
ES;ECOPORANGA;VEREADOR;NILSON TEIXEIRA DOS SANTOS;TCHOPILA;ES;24/06/1976;ELEITO POR QP
PE;CONDADO;VEREADOR;ELIAS GOMES DA SILVA;CABO ELIAS;PE;30/04/1959;ELEITO POR MêDIA
ES;JAGUARê;VEREADOR;JEAN FABIO COSTALONGA;PROFESSOR JEAN;ES;19/10/1980;ELEITO POR MêDIA
MA;BAR«O DE GRAJAÈ;VEREADOR;TEOT‚NIO ALVES DA COSTA NETO;TEOT‚NIO COSTA;DF;27/04/1980;ELEITO POR QP
SC;TR“S BARRAS;VEREADOR;SIOMARA MUHLMANN CORR“A;SIOMARA;SC;10/04/1976;ELEITO POR QP
PE;GL‡RIA DO GOITµ;VEREADOR;JOSê KAIO FELIPE NERY;KAIO NERY;PE;22/08/1975;ELEITO POR QP
PI;BELA VISTA DO PIAU÷;VEREADOR;ERICO VALDIR COELHO;ERICO VALDIR;PI;29/01/1985;ELEITO POR QP
PI;CAMPO GRANDE DO PIAU÷;VEREADOR;HELV÷DIO BOAVENTURA DE SOUSA;HELV÷DIO BOAVENTURA;PI;27/04/1988;ELEITO POR QP
PR;CIDADE GAÈCHA;VEREADOR;CLAUDINEI RIBEIRO;PARANAVAI;PR;04/09/1976;ELEITO POR QP
SP;BµLSAMO;VEREADOR;AILTON JOSE BERETA;BERETA;SP;29/09/1979;ELEITO POR QP
PR;CLEVEL∂NDIA;VEREADOR;MARSOL MIGUEL DOLNY;PROFESSOR MARSOL;PR;01/01/1979;ELEITO POR QP
SP;BµLSAMO;VEREADOR;VALDENICE SANTOS FERREIRA;VALDENICE;PR;01/03/1975;ELEITO POR QP
SP;BRAÈNA;VEREADOR;IVAIR SANTA ROSA;BAHIA;SP;09/05/1978;ELEITO POR QP
PR;FLOREST‡POLIS;VEREADOR;MARINHO NOVAIS LUZ NETO;NETO LUZ;PR;26/03/1979;ELEITO POR QP
SC;BRUSQUE;VEREADOR;ANT‚NIO ROBERTO DOS SANTOS SILVA;ANT‚NIO ROBERTO;BA;29/08/1986;ELEITO POR QP
PR;NOVA LONDRINA;VEREADOR;HUGO JOSê PINTO VEIT;HUGO VEIT;PR;13/08/1984;ELEITO POR QP
SP;CAPIVARI;VEREADOR;IN“S LUISA FELIX DA COSTA;IN“S LUISA FELIX;SP;04/10/1965;ELEITO POR MêDIA
RS;RONDINHA;VEREADOR;IDEMAR VICENTE PALUDO;PALUDO;RS;23/07/1959;ELEITO POR QP
RS;SAPIRANGA;VEREADOR;TIAGO MORAES DOS SANTOS;TIAGO MORAES;RS;25/11/1989;ELEITO POR MêDIA
SC;VARGE«O;VEREADOR;VANDERLEI GUBERT;VANDERLEI GUBERT;SC;10/08/1985;ELEITO POR QP
RN;PEDRO VELHO;PREFEITO;PEDRO GOMES DA SILVA JÈNIOR;JÈNIOR BALADA;RN;22/06/1982;ELEITO
SP;POTIRENDABA;VEREADOR;SIRDELI REGINA DO PATROCINIO;DELLA DA SAÈDE;SP;12/06/1972;ELEITO POR QP
GO;BOM JESUS DE GOIµS;VEREADOR;MARCIO FERNANDES NAVES;MARCIO MARELO;MG;17/01/1967;ELEITO POR QP
MG;DESTERRO DO MELO;VEREADOR;ITAMAR MEIRELES CAMPOS;MANINHO;MG;29/04/1978;ELEITO POR QP
MG;FELISBURGO;VEREADOR;ALESSANDRO BRAGA SOUTO;LEO DE GLORIA;MG;10/05/1977;ELEITO POR QP
MG;FELISBURGO;VEREADOR;JOSE LEANDRO PEREIRA DE CARVALHO;LêO DE PRISCILA ;MG;14/07/1984;ELEITO POR QP
SP;SOROCABA;VEREADOR;PERICLES REGIS MENDONÄA DE LIMA;PêRICLES RêGIS;MG;24/09/1985;ELEITO POR QP
MG;ITAIPê;VEREADOR;JONAS VIEIRA GOMES;JONAS VIEIRA;MG;29/08/1985;ELEITO POR MêDIA
MG;ITAIPê;VEREADOR;NEUBERT VIEIRA GONÄALVES;NEUBERT;MG;10/10/1997;ELEITO POR QP
SP;SOROCABA;VEREADOR;DYLAN ROBERTO VIANA DANTAS;DYLAN DANTAS;SP;28/01/1983;ELEITO POR MêDIA
SE;CANINDê DE S«O FRANCISCO;VEREADOR;KLEBER GUILHERME ALVES DOS SANTOS FEITOSA;KLEBINHO FEITOSA;SE;30/10/1990;ELEITO POR QP
SE;ITAPORANGA D'AJUDA;VEREADOR;ISAIAS SIQUEIRA CRUZ;ISAIAS SIQUEIRA;SE;20/03/1997;ELEITO POR MêDIA
SP;SOROCABA;VEREADOR;FABIO SIMOA MENDES DO CARMO LEITE;FABIO SIMOA;SP;23/03/1981;ELEITO POR QP
