UF;MUNICÍPIO;CARGO;NOME DO CANDIDATO;NOME NA URNA;DS_SIT_TOT_TURNO
AL;MARAVILHA;VEREADOR;JAELSON JÚNIOR XAVIER SOARES;JÚNIOR DE TINHO;ELEITO POR QP
AM;CANUTAMA;VEREADOR;LEONARDO ALVES DE SOUZA;LEONARDO ALVES;ELEITO POR QP
AM;CANUTAMA;VEREADOR;VALTEMAR DE FREITAS OLIVEIRA;VALTEMAR;ELEITO POR QP
RJ;SAPUCAIA;VEREADOR;JACKSON CARNEIRO DA ROCHA;JAQUINHO;ELEITO POR QP
RN;ACARI;VEREADOR;FRANCISCO DAS CHAGAS MEDEIROS JUNIOR;JÚNIOR BURITI ;ELEITO POR QP
AM;HUMAITÁ;VEREADOR;EVANEI DE SÁ MENDONÇA;EVANEI MENDONÇA;ELEITO POR QP
RN;PARANÁ;VEREADOR;FRANCISCO SERGINALDO DUARTE;ZÉ DE DUCARMO;ELEITO POR QP
AM;HUMAITÁ;VEREADOR;FRANCISCO CRISTOVO DA FONSECA ALMEIDA;CRISTOVO DO URUAPIARA;ELEITO POR QP
RN;SÃO FRANCISCO DO OESTE;VEREADOR;ANTONIO MARCOS LEITE;KADISSE;ELEITO POR QP
RN;SERRA DE SÃO BENTO;VEREADOR;REGIA DE FATIMA CRISANTO DE MORAIS;REGIA CRISANTO;ELEITO POR QP
RO;NOVA MAMORÉ;VEREADOR;JEFFERSON DE CASTRO CLÍMACO;JEFFERSON CLÍMACO;ELEITO POR QP
RO;NOVA MAMORÉ;VEREADOR;JOCIMAR MAULAZ;IRMÃO JÓ;ELEITO POR QP
SC;IBIRAMA;VEREADOR;JORGE ELI DE OLIVEIRA;JORGE ELI;ELEITO POR QP
SC;MACIEIRA;VEREADOR;EDUARDO TASCA;EDUARDO TASCA;ELEITO POR QP
SC;SÃO LOURENÇO DO OESTE;VEREADOR;JOÃO CARLOS SULDOWSKI;JOÃO SULDOWSKI;ELEITO POR QP
SE;LARANJEIRAS;VEREADOR;MÔNICA MACEDO SOBRAL MACIEL SILVA;MÔNICA SOBRAL;ELEITO POR QP
BA;LAJE;VEREADOR;ELISIO PEREIRA DE SOUSA;PEBA;ELEITO POR QP
PR;OURO VERDE DO OESTE;VEREADOR;ADENILSON SOARES DA SILVA;LECA;ELEITO POR QP
CE;ALTO SANTO;VEREADOR;FRANCISCO BEZERRA BARRETO;IVANILSOM DO BATOQUE;ELEITO POR QP
CE;ALTO SANTO;VEREADOR;LEVI DAMASCENO BESSA;LEVI DAMASCENO;ELEITO POR QP
SP;COSMORAMA;VEREADOR;MARINEIDE AURA DE SOUZA;MARINEIDE;ELEITO POR QP
RJ;MARICÁ;VEREADOR;ADELSO PEREIRA;ADELSO PEREIRA;ELEITO POR QP
CE;ARATUBA;VEREADOR;FRANCISCO FABIANO DA SILVA ARAUJO;FABIANO SILVA;ELEITO POR QP
CE;ARATUBA;VEREADOR;FABIO JUNIOR OLIVEIRA MARREIRO;BICUDO MARREIRO;ELEITO POR QP
